design-lint                PASS
seo-hygiene                PASS
license-attribution        CONFIG
safety-claims              PASS
placeholders               PASS
volume-claims              PASS
bonding                    PASS
geography                  CONFIG
federal-status             PASS
deny-list                  PASS
image-rights               FAIL
out-of-state-claims        PASS
litigation-exposure        FAIL
sitemap-integrity          PASS
broken-links               PASS
office-claims              FAIL
form-a11y                  PASS
schema-integrity           PASS
qualifier-claim            FAIL
crew-training-claims       FAIL
third-party-approval       FAIL
reverify-log               FAIL
dup-meta                   PASS
