image_stem,encodings,project_group,source_category,rights_status,evidence_ref,note,recorded_date
images/acg-coverage-map,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-favicon,jpg,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-icon-44,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-icon-88,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-icon-nav,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-logo-nav,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-logo-nav-OLD@2x,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-logo-nav@2x,avif png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/acg-mark,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/apple-touch-icon,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/atlantic-fields-card,jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/atlantic-fields-entry,avif jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/atlantic-fields-fitness,avif jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/atlantic-fields-hero,avif jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/blog/top-chef-2026/awards-table,jpg webp,images/blog/top-chef-2026,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/blog/top-chef-2026/nannette-walsh-winner,jpg webp,images/blog/top-chef-2026,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/blog/top-chef-2026/packed-house,avif jpg webp,images/blog/top-chef-2026,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/blog/top-chef-2026/sponsor-wall,jpg webp,images/blog/top-chef-2026,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/brand/acg-icon,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/brand/acg-lockup-2x,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/brand/acg-lockup-full,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/brand/acg-logo-horizontal,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/brand/acg-logo-stacked,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/brand/acg-stacked,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/brand/acg-wordmark,png,images/brand,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/favicon-192,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/favicon-32,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/favicon-512,png,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/hero-carib-circle,avif jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/hero/storefront-cinematic,jpg,images/hero,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/hero/tower-360,jpg webp,images/hero,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/impact-windows-multifamily,avif jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/infographics/infographic-1172-s-harbor-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-2143-carib-circle-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-736-lagoon-dr-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-ada-compliance-commercial-glass-doors,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-ai-project-management-commercial-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-aluminum-vs-vinyl-windows-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-aspen-dental-edgewater-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-atlantic-fields-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-atlantic-fields-golf-house-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-atlantic-fields-performance-center-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-automatic-entrance-ada-compliance,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-automatic-entrance-systems-commercial-buildings-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-baron-shoppes-tradition-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-best-commercial-storefront-systems-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-best-glass-options-florida-storefronts,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-best-glass-types-florida-commercial-climate,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-best-time-replace-commercial-windows-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-bi-fold-glass-walls-restaurants-hospitality,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-bobcat-treasure-coast-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-bradley-daytona-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-bradley-daytona-multifamily-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-causeway-building-bonita-springs-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-city-of-haines-emergency-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-adds-property-value-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-cleaning-maintenance-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-customization-options-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-insurance-claims-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-maintenance-schedule-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-partition-systems-offices,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-property-value-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-repair-costs-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
