page,label,role,market,clicks,prior_clicks,clicks_pct,impressions,prior_impressions,impressions_pct,position,prior_position,position_gain,band
/glazing-contractor-florida.html,Glazing contractor Florida,statewide-hub,florida-statewide,50,43,16.28,1700,1572,8.14,10.18,10.9,0.72,page2
/,Homepage,root-authority,,160,147,8.84,1450,1375,5.45,1.52,1.63,0.11,page1
/miami-hvhz-glazing-contractor.html,Miami HVHZ glazing contractor,market-page,miami,29,24,20.83,1295,1160,11.64,9.59,10.45,0.86,page1
/eswindows-installer-florida.html,ESWindows installer Florida,manufacturer-hub,,30,17,76.47,860,775,10.97,9.75,13.29,3.54,page1
/storefront-glazier-florida/,Storefront glazier Florida,statewide-hub,florida-statewide,19,17,11.76,770,725,6.21,12.63,12.8,0.16,page2
/storefront-glazier-miami-florida/,Storefront glazier Miami,market-page,miami,12,10,20.0,760,690,10.14,12.4,14.1,1.7,page2
/commercial-glazing-south-florida.html,Commercial glazing South Florida,regional-hub,south-florida,11,11,0.0,590,590,0.0,12.23,11.59,-0.63,page2
/euro-wall-installer-florida.html,Euro-Wall installer Florida,manufacturer-hub,,13,21,-38.1,580,595,-2.52,11.61,8.69,-2.91,page2
/west-palm-beach/,West Palm Beach (canonical),market-page,west-palm-beach,26,24,8.33,520,495,5.05,4.0,4.3,0.3,page1
/architect-specs/,Architect specs (CSI Section 08),spec-authority,,8,7,14.29,465,430,8.14,12.96,13.76,0.8,page2
/commercial-glazing-west-palm-beach.html,Commercial glazing WPB (duplicate of /west-palm-beach/),market-page,west-palm-beach,11,9,22.22,430,380,13.16,6.8,7.5,0.7,page1
/euro-wall-restaurant-installer-florida.html,Euro-Wall restaurant installer Florida,manufacturer-hub,,11,9,22.22,325,300,8.33,8.35,9.25,0.89,page1
/nashville/,Nashville hub,market-page,nashville,1,2,-50.0,272,247,10.12,27.0,28.94,1.94,page3
/storefront-installer-nashville.html,Storefront installer Nashville,market-page,nashville,3,1,200.0,260,225,15.56,24.92,27.19,2.27,page3
/commercial-glazing-nashville-tn.html,Commercial glazing Nashville TN,market-page,nashville,1,0,,210,180,16.67,22.4,25.9,3.5,page3
/pgt-installer-florida.html,PGT installer Florida,manufacturer-hub,,3,3,0.0,210,200,5.0,16.5,16.1,-0.4,page2
/acg-vs-competitors.html,ACG vs competitors,comparison,,3,3,0.0,125,115,8.7,6.71,7.06,0.35,page1
/allegion-installer-florida.html,Allegion installer Florida,manufacturer-hub,,1,1,0.0,85,80,6.25,21.7,20.9,-0.8,page3
/commercial-glass-installation-florida.html,Commercial glass installation Florida,statewide-hub,florida-statewide,0,0,,0,0,,,,,unranked
/miami/commercial-storefronts/,Miami commercial storefronts,market-page,miami,0,0,,0,0,,,,,unranked
/storefront-glazier-west-palm-beach-florida/,Storefront glazier WPB,market-page,west-palm-beach,0,0,,0,0,,,,,unranked
