query,group,market,clicks,prior_clicks,clicks_delta,clicks_pct,impressions,prior_impressions,impressions_delta,impressions_pct,ctr,prior_ctr,position,prior_position,position_gain,band,prior_band,transition
acg glass contractor,brand,,18,16,2,12.5,240,225,15,6.67,0.075,0.071111,2.6,2.8,0.2,page1,page1,flat
acg vs giroux glass,comparison,,2,2,0,0.0,70,65,5,7.69,0.028571,0.030769,6.4,6.8,0.4,page1,page1,flat
acg vs harmon,comparison,,1,1,0,0.0,55,50,5,10.0,0.018182,0.02,7.1,7.4,0.3,page1,page1,flat
acg vs permasteelisa,comparison,,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
allegion installer florida,manufacturer,,1,1,0,0.0,85,80,5,6.25,0.011765,0.0125,21.7,20.9,-0.8,page3,page3,flat
american commercial glass,brand,,145,134,11,8.21,1250,1188,62,5.22,0.116,0.112795,1.56,1.65,0.09,page1,page1,flat
american commercial glass florida,brand,,9,8,1,12.5,150,142,8,5.63,0.06,0.056338,3.4,3.6,0.2,page1,page1,flat
best glaziers south florida,service-geo,south-florida,3,2,1,50.0,180,160,20,12.5,0.016667,0.0125,13.2,14.8,1.6,page2,page2,flat
commercial glass contractor south florida,service-geo,south-florida,8,9,-1,-11.11,410,430,-20,-4.65,0.019512,0.02093,11.8,10.4,-1.4,page2,page2,flat
commercial glazing bid process,educational,,1,1,0,0.0,85,80,5,6.25,0.011765,0.0125,23.5,24.1,0.6,page3,page3,flat
commercial glazing clarksville tn,nashville-launch,nashville,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
commercial glazing contractor florida,service-geo,florida-statewide,31,27,4,14.81,890,820,70,8.54,0.034831,0.032927,7.2,7.9,0.7,page1,page1,flat
commercial glazing contractor miami,service-geo,miami,14,11,3,27.27,940,840,100,11.9,0.014894,0.013095,13.64,15.21,1.56,page2,page2,flat
commercial glazing contractor nashville,service-geo,nashville,2,1,1,100.0,515,450,65,14.44,0.003883,0.002222,25.46,28.15,2.69,page3,page3,flat
commercial glazing contractor west palm beach,service-geo,west-palm-beach,37,33,4,12.12,950,875,75,8.57,0.038947,0.037714,5.27,5.69,0.42,page1,page1,flat
commercial glazing franklin tn,nashville-launch,nashville,0,0,0,,12,9,3,33.33,0.0,0.0,33.1,35.4,2.3,beyond,beyond,flat
commercial glazing murfreesboro tn,nashville-launch,nashville,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
commercial glazing spring hill tn,nashville-launch,nashville,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
